Mori.json,2,5,3,5,2,3,3,1,3,4,2,3,5,2,5,3,2,4,2,3,2,4,4,3,4,2,4,3,5,2,4,1,3,2,1,4,4,1,3,4,2,2,1,2,3,1,4,1
yoshihito.json,2,4,3,4,1,1,2,1,2,3,3,2,4,3,5,2,5,2,3,5,2,4,1,3,5,1,3,2,5,1,3,1,1,4,4,1,2,3,1,4,4,2,1,2,2,1,3,1
sakamoto.json,2,5,4,5,2,2,2,2,4,2,3,2,5,3,5,4,2,5,4,3,2,5,4,4,3,4,3,4,4,5,2,2,3,3,2,4,5,3,5,4,3,4,3,3,3,2,5,3
hirai.json,2,4,5,4,1,1,1,3,5,5,2,4,4,2,5,4,2,3,3,1,1,4,2,4,3,4,4,4,5,2,3,2,5,4,1,4,3,3,3,4,3,5,1,1,4,3,3,4
sa.json,2,4,3,4,1,1,2,1,1,2,2,2,2,3,4,3,2,3,3,1,2,5,2,3,3,1,2,2,5,2,2,3,2,1,3,4,2,3,2,3,2,4,2,4,4,4,5,2
Nagahashi.json,4,5,4,5,3,3,2,1,4,2,1,2,5,4,5,4,2,5,5,2,1,5,5,5,5,4,5,5,5,4,5,5,4,5,4,4,5,2,5,5,4,4,3,5,4,2,5,1
esaki.json,4,5,3,4,2,1,3,1,2,1,1,2,4,3,5,4,4,4,3,2,3,5,3,4,5,3,4,4,3,3,3,4,5,3,3,2,5,3,4,5,3,4,3,5,3,2,5,2
sawada.json,3,5,4,4,2,2,1,4,3,4,2,3,5,4,5,5,3,3,5,3,3,5,4,5,3,3,2,3,3,3,3,3,2,3,2,3,5,3,3,5,5,5,2,5,4,3,5,2
kento.json,4,5,5,4,3,3,2,2,1,4,2,3,5,3,5,5,2,5,4,1,3,5,4,3,3,2,2,4,5,2,2,2,3,4,1,1,4,3,4,5,3,5,4,5,4,2,5,4
kengo.json,1,4,5,2,1,1,2,1,3,2,2,2,4,3,5,5,4,5,5,3,4,5,2,3,5,3,4,4,3,2,1,1,2,2,3,5,4,3,3,5,4,5,3,4,2,1,4,1
WTNB.json,5,5,2,3,3,2,2,1,1,2,2,1,4,2,4,1,1,4,2,1,1,3,4,2,3,1,4,4,5,5,2,2,4,5,1,3,4,1,2,4,2,4,2,4,5,1,4,1
maza.json,4,5,4,5,4,3,5,2,2,3,5,5,4,3,5,4,5,5,3,5,2,5,5,5,5,4,5,5,4,4,4,3,5,3,2,5,3,5,4,2,4,2,4,5,5,5,4,2
yoshikawa.json,4,5,4,5,2,2,3,1,5,3,4,4,5,4,5,5,4,5,4,5,2,5,2,2,5,2,5,4,5,2,4,5,2,4,2,4,4,4,5,4,4,5,2,4,5,5,5,2
